n	theta	NLOO2D(0.3)	NLOO2D(0.5)
1	30.34	 435.005	 545.578
2	28.81	 386.121	 469.856
3	27.29	 372.098	 443.938
4	25.77	 362.738	 438.026
5	24.25	 361.700	 441.592
6	22.73	 353.516	 433.042
7	21.21	 351.063	 426.196
8	19.69	 341.092	 417.656
9	18.17	 346.248	 416.617
10	16.65	 348.199	 420.298
11	15.13	 345.482	 423.871
12	13.60	 315.537	 398.344
13	12.07	 307.992	 395.527
14	10.55	 320.004	 389.072
15	 9.02	 315.422	 379.027
16	 7.49	 302.119	 377.945
17	 5.99	 307.999	 380.310
18	 4.49	 311.119	 382.164
19	 3.00	 304.273	 382.980
20	 1.50	 313.426	 373.039
21	 0.00	 304.558	 370.766
22	-1.46	 301.427	 365.665
23	-2.92	 310.826	 373.140
24	-4.37	 294.877	 365.017
25	-5.83	 302.888	 378.440
26	-7.29	 289.749	 376.374
27	-8.81	 292.753	 373.846
28	-10.33	 306.548	 373.180
29	-11.86	 299.903	 378.637
30	-13.38	 309.948	 387.483
31	-14.90	 312.851	 387.562
32	-16.42	 320.247	 388.216
33	-17.92	 319.568	 391.920
34	-19.42	 334.860	 400.168
35	-20.92	 333.349	 400.251
36	-22.41	 334.495	 411.520
37	-23.91	 334.417	 419.176
38	-25.41	 356.679	 434.697
39	-26.91	 366.631	 439.845
40	-28.41	 373.327	 456.649
41	-29.91	 423.152	 507.287
