190, 50, 50, -1, 37.25531768798828, nan
190, 50, 450, 12.234864849611588, 69.98348236083984, 0.0035358777142100927
190, 50, 850, 12.339337836274488, 75.36015319824219, 0.009590430056216587
190, 50, 1250, 12.30696315307892, 73.73703002929688, 0.00727522837064853
190, 50, 1650, 12.487280818870968, 63.638511657714844, 0.007030788452727632
190, 450, 50, -1, 38.477272033691406, nan
190, 450, 450, 12.330881999335407, 65.9311752319336, 0.005240441739785108
190, 450, 850, 12.233410329425885, 79.28341674804688, 0.016708346309155138
190, 450, 1250, 11.973045907569139, 75.47257995605469, 0.02336522372176885
190, 450, 1650, 12.15853825872509, 67.1167221069336, 0.017562570317631424
190, 850, 50, -1, 39.948062896728516, nan
190, 850, 450, 12.07028886975789, 63.597450256347656, 0.019756792449211035
190, 850, 850, 11.978468469502776, 73.22117614746094, 0.04285575580830499
190, 850, 1250, 11.206183234903666, 70.58682250976562, 0.028910019396895317
190, 850, 1650, 12.208139462821448, 73.6070327758789, 0.027390604390383468
190, 1250, 50, -1, 35.680545806884766, nan
190, 1250, 450, 12.15631761420092, 72.9832534790039, 0.03180669243791515
190, 1250, 850, 12.18187783796838, 70.64497375488281, 0.01090924262663721
190, 1250, 1250, 11.24881105276828, 68.80569458007812, 0.01876364310411884
190, 1250, 1650, 12.438168674933285, 73.39330291748047, 0.010427275939166826
190, 1650, 50, -1, 36.74109649658203, nan
190, 1650, 450, 10.045534470069072, 74.8155746459961, 0.03218136537137456
190, 1650, 850, 11.836708040459246, 68.62663269042969, 0.023573994548884127
190, 1650, 1250, 11.021578715895878, 62.39743423461914, 0.007075466871329672
190, 1650, 1650, 12.30191753025323, 71.45671081542969, 0.009100080002769595
