190, 50, 50, -1, 38.02150344848633, nan
190, 50, 450, 6.71906287331096, 73.25154876708984, 0.06515340756282244
190, 50, 850, 5.730005902538297, 78.84307861328125, 0.16512244643689028
190, 50, 1250, 5.946829711676184, 77.48888397216797, 0.13281731118964224
190, 50, 1650, 6.259880963117928, 66.71427154541016, 0.1440056688278017
190, 450, 50, -1, 40.441646575927734, nan
190, 450, 450, 6.0893986107088125, 69.44078063964844, 0.10315444711783617
190, 450, 850, 5.511327694821415, 83.08793640136719, 0.2462299966762618
190, 450, 1250, 5.125495500598776, 79.37010192871094, 0.3047932761866274
190, 450, 1650, 5.35946762420584, 70.42414855957031, 0.27469145551724167
190, 850, 50, -1, 42.08491134643555, nan
190, 850, 450, 5.614935852485447, 66.62413787841797, 0.2513161456945089
190, 850, 850, 5.566515974720403, 76.95345306396484, 0.4424405167915824
190, 850, 1250, 5.108097164492662, 73.9414291381836, 0.3415971616571781
190, 850, 1650, 4.261269977439145, 77.17273712158203, 0.35374920992024644
190, 1250, 50, -1, 37.524803161621094, nan
190, 1250, 450, 5.4975037777396984, 76.62837219238281, 0.38413389693182187
190, 1250, 850, 4.831259348366711, 74.07304382324219, 0.1705252402924188
190, 1250, 1250, 5.607505316070121, 72.26969146728516, 0.2494302686401431
190, 1250, 1650, 5.588846715130383, 76.905029296875, 0.14975479873379968
190, 1650, 50, -1, 38.55197525024414, nan
190, 1650, 450, 5.538451972842144, 78.53485870361328, 0.37635588446043916
190, 1650, 850, 5.530300924423144, 72.03758239746094, 0.30621500355652553
190, 1650, 1250, 5.90102548801199, 65.40230560302734, 0.16206678206896538
190, 1650, 1650, 5.478404795826172, 74.95173645019531, 0.16184830559520658
