22, 109, 109, 14.117312373155526, 183.50083923339844
22, 109, 469, 14.719246128357321, 172.57672119140625
22, 109, 829, 9.063429530604704, 161.68040466308594
22, 109, 1189, 12.061890661016589, 156.22328186035156
22, 109, 1549, 11.075270644055651, 172.42030334472656
22, 109, 1909, 13.991440147510753, 171.35302734375
22, 469, 109, 14.495207314024622, 170.325439453125
22, 469, 469, 14.834048999505871, 153.46986389160156
22, 469, 829, 15.805508854343616, 171.91622924804688
22, 469, 1189, 14.56916069330242, 180.61676025390625
22, 469, 1549, 9.005540797723114, 159.06259155273438
22, 469, 1909, 10.025183113239706, 172.4271240234375
22, 829, 109, 11.847390818041195, 159.0190887451172
22, 829, 469, 11.028326111053483, 162.55075073242188
22, 829, 829, 13.595110144595903, 155.36334228515625
22, 829, 1189, 9.81477211226398, 160.41937255859375
22, 829, 1549, 8.669989395074005, 159.1824493408203
22, 829, 1909, 13.466413404090508, 162.60467529296875
22, 1189, 109, 8.579922258802616, 159.9369354248047
22, 1189, 469, 9.681566375439761, 156.3463134765625
22, 1189, 829, 15.56879179339746, 188.73741149902344
22, 1189, 1189, 14.407640892132621, 161.93692016601562
22, 1189, 1549, 11.92517273406669, 164.02853393554688
22, 1189, 1909, 14.213035243530028, 136.59613037109375
22, 1549, 109, 14.131773452272425, 170.98745727539062
22, 1549, 469, 12.119355635786166, 162.22384643554688
22, 1549, 829, 11.41625020642508, 165.1081085205078
22, 1549, 1189, 9.945077161183814, 181.05685424804688
22, 1549, 1549, 12.088572901398638, 183.7376251220703
22, 1549, 1909, 13.515568884215357, 198.0462646484375
22, 1909, 109, 16.043228845579893, 134.6688995361328
22, 1909, 469, 14.757073055092818, 177.9023895263672
22, 1909, 829, 11.894353016388449, 159.09762573242188
22, 1909, 1189, 10.585828391584291, 175.13917541503906
22, 1909, 1549, 12.702551249843602, 185.03416442871094
22, 1909, 1909, 13.1438386995555, 182.47950744628906
54, 109, 109, 12.779560793220677, 182.27487182617188
54, 109, 469, 13.711269552286664, 166.85867309570312
54, 109, 829, 10.237812755451824, 161.28973388671875
54, 109, 1189, 8.492980829130756, 160.57070922851562
54, 109, 1549, 9.525753283201796, 171.26910400390625
54, 109, 1909, 12.626418657282601, 174.40382385253906
54, 469, 109, 12.988542165159782, 169.97189331054688
54, 469, 469, 14.55056963589521, 156.0325927734375
54, 469, 829, 13.808239798278434, 169.21865844726562
54, 469, 1189, 13.514290824199886, 181.53878784179688
54, 469, 1549, 12.378845343113458, 158.25950622558594
54, 469, 1909, 10.483488422703914, 168.74053955078125
54, 829, 109, 12.264681630776002, 160.15834045410156
54, 829, 469, 13.941502336080923, 162.0137176513672
54, 829, 829, 12.208722766419775, 161.849853515625
54, 829, 1189, 8.284234982884039, 158.54248046875
54, 829, 1549, 13.537577306127268, 161.18301391601562
54, 829, 1909, 10.365177750931757, 159.59939575195312
54, 1189, 109, 12.190899399132755, 160.2901153564453
54, 1189, 469, 12.611567564449066, 157.2137908935547
54, 1189, 829, 11.375188054794377, 185.96014404296875
54, 1189, 1189, 13.527116381689135, 160.24032592773438
54, 1189, 1549, 9.280442895623716, 161.8494110107422
54, 1189, 1909, 13.570889519881979, 134.33242797851562
54, 1549, 109, 15.578152128907044, 170.80905151367188
54, 1549, 469, 11.561514810869687, 162.7937469482422
54, 1549, 829, 9.98799107565899, 164.20980834960938
54, 1549, 1189, 14.326564595145053, 183.04815673828125
54, 1549, 1549, 13.60848454806847, 182.09323120117188
54, 1549, 1909, 12.501872503228547, 200.96499633789062
54, 1909, 109, 16.124128710974745, 125.32606506347656
54, 1909, 469, 14.065305152737722, 178.08041381835938
54, 1909, 829, 13.421922642436845, 161.09405517578125
54, 1909, 1189, 10.840165550783455, 180.6795196533203
54, 1909, 1549, 12.755557973830369, 186.11672973632812
54, 1909, 1909, 15.148969072410402, 185.27435302734375
86, 109, 109, 15.402604924971861, 177.35647583007812
86, 109, 469, 15.350162165753115, 165.2907257080078
86, 109, 829, 10.357891691889238, 161.6610107421875
86, 109, 1189, 14.288465780911293, 159.87399291992188
86, 109, 1549, 14.093565722011675, 172.8840789794922
86, 109, 1909, 11.1533035408538, 180.203369140625
86, 469, 109, 13.372070433805847, 167.38137817382812
86, 469, 469, 13.030299509311138, 159.22225952148438
86, 469, 829, 12.474969245718505, 163.45263671875
86, 469, 1189, 13.65651788702677, 181.3483123779297
86, 469, 1549, 9.493167930054112, 162.2740020751953
86, 469, 1909, 12.172207620122663, 167.00897216796875
86, 829, 109, 12.407846216539477, 157.873291015625
86, 829, 469, 9.743797059258291, 160.07022094726562
86, 829, 829, 13.717958251331197, 168.20559692382812
86, 829, 1189, 10.207849470733045, 158.18121337890625
86, 829, 1549, 11.230028409816537, 164.89959716796875
86, 829, 1909, 12.023535933349155, 159.78326416015625
86, 1189, 109, 13.37473079842668, 162.17616271972656
86, 1189, 469, 9.47648177396444, 155.79156494140625
86, 1189, 829, 11.37230756395898, 179.65248107910156
86, 1189, 1189, 10.868429639591522, 160.01483154296875
86, 1189, 1549, 12.611758308987099, 165.32444763183594
86, 1189, 1909, 15.435731826504274, 133.00216674804688
86, 1549, 109, 14.597938924490553, 173.47781372070312
86, 1549, 469, 14.930566563484131, 161.34878540039062
86, 1549, 829, 12.168862523114157, 167.283203125
86, 1549, 1189, 10.582023211364547, 179.6148681640625
86, 1549, 1549, 7.68109754844555, 179.61245727539062
86, 1549, 1909, 10.771644022508807, 193.62799072265625
86, 1909, 109, 14.823052668393203, 128.0728759765625
86, 1909, 469, 13.786425301611104, 177.91326904296875
